created_utc,isbuy,issell,posts_count
2021-09-30,0,1,3
2021-10-01,5,6,30
2021-10-02,7,3,15
2021-10-03,4,4,19
2021-10-04,7,4,35
2021-10-05,4,2,18
2021-10-06,4,2,20
2021-10-07,6,5,21
2021-10-08,12,5,22
2021-10-09,5,9,15
2021-10-10,8,6,15
2021-10-11,8,5,20
2021-10-12,7,3,20
2021-10-13,18,14,26
2021-10-14,17,11,37
2021-10-15,13,11,23
2021-10-16,5,4,12
2021-10-17,4,3,13
2021-10-18,16,11,51
2021-10-19,31,22,75
2021-10-20,3,1,15
2021-10-21,15,9,25
2021-10-22,10,14,33
2021-10-23,10,4,27
2021-10-24,3,1,14
2021-10-25,11,4,23
2021-10-26,9,8,33
2021-10-27,10,6,28
2021-10-28,9,4,41
2021-10-29,4,3,23
2021-10-30,6,7,16
2021-10-31,6,5,7
2021-11-01,5,2,35
2021-11-02,7,8,48
2021-11-03,37,22,82
2021-11-04,28,10,72
2021-11-05,20,15,39
2021-11-06,14,11,60
2021-11-07,8,12,34
2021-11-08,25,22,35
2021-11-09,18,6,41
2021-11-10,2,3,29
2021-11-11,9,9,31
2021-11-12,16,7,38
2021-11-13,6,6,18
2021-11-14,9,9,10
2021-11-15,4,2,15
2021-11-16,13,5,32
2021-11-17,14,6,28
2021-11-18,11,8,32
2021-11-19,9,7,29
2021-11-20,13,12,25
2021-11-21,5,1,13
2021-11-22,6,4,49
2021-11-23,9,5,43
2021-11-24,11,7,34
2021-11-25,7,3,20
2021-11-26,9,2,15
2021-11-27,10,7,22
2021-11-28,2,2,19
2021-11-29,8,2,36
2021-11-30,10,1,27
2021-12-01,7,3,30
2021-12-02,8,5,33
2021-12-03,3,4,24
2021-12-04,3,3,24
2021-12-05,5,4,11
2021-12-06,7,4,16
2021-12-07,4,4,10
2021-12-08,9,5,54
2021-12-09,13,10,45
2021-12-10,13,12,34
2021-12-11,5,7,30
2021-12-12,2,1,3
2021-12-13,4,5,10
2021-12-14,7,5,15
2021-12-15,1,4,8
2021-12-16,5,3,6
2021-12-17,4,4,11
2021-12-18,5,4,9
2021-12-19,7,3,12
2021-12-20,6,3,15
2021-12-21,1,1,6
2021-12-22,3,3,7
2021-12-23,6,2,13
2021-12-24,2,2,6
2021-12-25,5,5,13
2021-12-26,3,2,3
2021-12-27,5,3,7
2021-12-28,0,1,8
2021-12-29,15,12,22
2021-12-30,5,5,13
2021-12-31,10,3,21
2022-01-01,3,0,4
2022-01-02,5,2,7
2022-01-03,9,10,15
2022-01-04,7,3,21
2022-01-05,11,9,21
2022-01-06,8,7,34
2022-01-07,25,13,64
2022-01-08,5,4,15
2022-01-09,5,2,9
2022-01-10,8,3,19
2022-01-11,6,8,18
2022-01-12,7,8,24
2022-01-13,9,9,20
2022-01-14,6,5,24
2022-01-15,5,4,10
2022-01-16,4,2,11
2022-01-17,13,11,21
2022-01-18,13,9,26
2022-01-19,8,8,22
2022-01-20,1,1,11
2022-01-21,4,4,14
2022-01-22,5,2,7
2022-01-23,2,1,7
2022-01-24,4,6,14
2022-01-25,4,3,15
2022-01-26,8,6,10
2022-01-27,5,3,15
2022-01-28,12,10,19
2022-01-29,2,1,3
2022-01-30,3,2,3
2022-01-31,5,6,8
2022-02-01,8,5,14
2022-02-02,3,2,12
2022-02-03,9,4,17
2022-02-04,1,1,15
2022-02-05,0,1,5
2022-02-06,1,0,3
2022-02-07,0,1,6
2022-02-08,4,3,9
2022-02-09,1,1,5
2022-02-10,7,4,23
2022-02-11,5,3,11
2022-02-12,6,8,25
2022-02-13,0,0,13
2022-02-14,2,2,10
2022-02-15,3,4,10
2022-02-16,4,2,26
2022-02-17,4,3,14
2022-02-18,3,1,15
2022-02-19,1,0,1
2022-02-20,2,2,8
2022-02-21,5,0,21
2022-02-22,3,3,11
2022-02-23,1,1,9
2022-02-24,5,1,19
2022-02-25,6,4,24
2022-02-26,2,1,6
2022-02-27,2,2,4
2022-02-28,2,0,2
2022-03-01,2,1,7
