created_utc,isbuy,issell,posts_count
2021-09-30,0,0,1
2021-10-01,2,3,7
2021-10-02,2,1,6
2021-10-03,4,5,34
2021-10-04,1,4,12
2021-10-05,2,2,9
2021-10-06,1,1,3
2021-10-07,1,1,10
2021-10-08,4,1,14
2021-10-09,3,2,4
2021-10-10,2,3,24
2021-10-11,5,3,14
2021-10-12,5,3,11
2021-10-13,5,6,16
2021-10-14,3,3,11
2021-10-15,4,5,29
2021-10-16,4,3,16
2021-10-17,6,4,17
2021-10-18,8,4,30
2021-10-19,8,12,23
2021-10-20,4,4,21
2021-10-21,5,3,28
2021-10-22,11,10,29
2021-10-23,3,3,7
2021-10-24,1,1,8
2021-10-25,33,13,107
2021-10-26,34,21,113
2021-10-27,15,9,44
2021-10-28,9,11,57
2021-10-29,22,15,66
2021-10-30,8,0,35
2021-10-31,11,4,27
2021-11-01,15,9,77
2021-11-02,32,23,115
2021-11-03,31,29,112
2021-11-04,30,16,75
2021-11-05,13,7,31
2021-11-06,20,17,63
2021-11-07,22,33,86
2021-11-08,18,24,66
2021-11-09,20,11,50
2021-11-10,16,9,43
2021-11-11,18,30,74
2021-11-12,5,6,27
2021-11-13,12,11,32
2021-11-14,11,12,46
2021-11-15,20,21,55
2021-11-16,17,11,65
2021-11-17,17,12,48
2021-11-18,13,16,60
2021-11-19,5,3,16
2021-11-20,2,4,15
2021-11-21,5,9,25
2021-11-22,6,5,35
2021-11-23,8,6,27
2021-11-24,9,8,35
2021-11-25,7,4,13
2021-11-26,0,3,6
2021-11-27,1,0,4
2021-11-28,1,0,3
2021-11-29,3,5,13
2021-11-30,6,7,35
2021-12-01,1,1,12
2021-12-02,5,2,15
2021-12-03,5,3,19
2021-12-04,6,4,19
2021-12-05,0,1,6
2021-12-06,3,6,19
2021-12-07,8,7,15
2021-12-08,6,6,25
2021-12-09,5,5,19
2021-12-10,4,2,22
2021-12-11,10,2,18
2021-12-12,2,1,4
2021-12-13,2,2,5
2021-12-14,1,4,10
2021-12-15,4,3,8
2021-12-16,6,1,9
2021-12-17,3,7,11
2021-12-18,1,0,2
2021-12-19,0,2,3
2021-12-20,7,0,11
2021-12-21,1,3,4
2021-12-22,0,0,2
2021-12-23,2,1,9
2021-12-24,3,4,6
2021-12-25,5,4,9
2021-12-26,0,0,1
2021-12-27,2,2,8
2021-12-28,4,2,12
2021-12-29,9,8,15
2021-12-30,1,2,5
2021-12-31,2,3,7
2022-01-01,1,2,11
2022-01-02,14,4,16
2022-01-03,11,9,19
2022-01-04,10,8,18
2022-01-05,5,5,19
2022-01-06,11,8,19
2022-01-07,3,2,6
2022-01-08,4,3,5
2022-01-09,5,6,11
2022-01-10,1,2,5
2022-01-11,5,3,9
2022-01-12,4,1,8
2022-01-13,7,6,13
2022-01-14,3,4,5
2022-01-15,6,3,7
2022-01-16,4,2,5
2022-01-17,2,2,2
2022-01-18,0,0,8
2022-01-19,2,2,6
2022-01-20,7,4,10
2022-01-21,3,3,8
2022-01-22,2,3,12
2022-01-23,4,4,8
2022-01-24,1,1,5
2022-01-25,2,8,14
2022-01-26,2,3,6
2022-01-27,4,4,9
2022-01-28,4,5,9
2022-01-30,0,1,4
2022-02-01,3,1,4
2022-02-02,4,4,10
2022-02-03,3,3,8
2022-02-04,7,2,9
2022-02-05,0,0,1
2022-02-06,2,1,4
2022-02-07,0,3,4
2022-02-08,2,3,6
2022-02-09,2,1,2
2022-02-10,5,4,12
2022-02-11,2,2,10
2022-02-12,6,6,9
2022-02-13,1,0,5
2022-02-14,3,2,9
2022-02-15,0,2,6
2022-02-16,1,0,3
2022-02-17,2,1,7
2022-02-18,2,2,4
2022-02-19,2,0,5
2022-02-20,2,1,3
2022-02-21,2,1,3
2022-02-22,5,5,8
2022-02-23,3,4,15
2022-02-24,8,5,21
2022-02-25,0,0,3
2022-02-26,0,0,3
2022-02-27,0,0,13
2022-02-28,0,0,3
2022-03-01,4,3,7
